date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,newCasesByPublishDate,newDeaths28DaysByPublishDate,cumCases,cumDeaths,dailyTest,percentPos
2020-04-07,57512.0,10546.0,3888,1105,57512,7542,14423.0,0.26956943770366776
2020-04-08,63377.0,11618.0,5865,1030,63377,8572,16443.0,0.35668673599708084
2020-04-09,68052.0,12616.0,4675,1116,68052,9688,19116.0,0.24455953128269511
2020-04-10,73758.0,13558.0,5706,1122,73758,10810,18091.0,0.31540545022386823
2020-04-11,78991.0,14513.0,5234,843,78992,11653,18000.0,0.2907777777777778
2020-04-12,84279.0,15470.0,5288,657,84280,12310,14506.0,0.364538811526265
2020-04-13,88621.0,16363.0,4342,724,88622,13034,14982.0,0.28981444399946604
2020-04-14,93873.0,17222.0,5252,1076,93874,14110,15994.0,0.3283731399274728
2020-04-15,98476.0,18101.0,4605,880,98479,14990,18665.0,0.24671845700508974
2020-04-16,103093.0,18939.0,4618,1036,103097,16026,21328.0,0.21652288072018006
2020-04-17,108692.0,19758.0,5599,913,108696,16939,21389.0,0.2617700687269157
2020-04-18,114217.0,20557.0,5526,1105,114222,18044,21626.0,0.25552575603440303
2020-04-19,120067.0,21320.0,5850,432,120072,18476,19316.0,0.30285773452060466
2020-04-20,124743.0,22102.0,4676,570,124748,19046,17970.0,0.26021146355036173
2020-04-21,129044.0,22844.0,4301,1224,129049,20270,22814.0,0.1885245901639344
2020-04-22,133495.0,23572.0,4451,847,133500,21117,23560.0,0.18892190152801358
2020-04-23,138078.0,24246.0,4583,682,138083,21799,28532.0,0.16062666479742044
2020-04-24,143464.0,24928.0,5386,1010,143469,22809,28760.0,0.1872739916550765
2020-04-25,148377.0,25573.0,4913,815,148382,23624,29058.0,0.16907564181980866
2020-04-26,152840.0,26206.0,4463,364,152845,23988,31610.0,0.14118949699462197
2020-04-27,157149.0,26801.0,4310,320,157155,24308,33287.0,0.1294799771682639
2020-04-28,161145.0,27361.0,3996,969,161151,25277,45505.0,0.08781452587627733
2020-04-29,165221.0,27930.0,4076,769,165227,26046,66793.0,0.061024358839998204
